SMILES,Activity
[H]OCCO[H],1
CCC(=O)C(O)=O,1
[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,1
NCCC(=O)N[C@@H](CC1=CN=CN1)C(O)=O,1
NC1=C2NC=NC2=NC=N1,1
CCCC(O)=O,1
CC(O)=O,1
C[N+](C)(C)CC(O)=O,1
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,1
NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
NCCC(O)=O,1
C[N+](C)(C)C[C@H](O)CC(O)=O,1
OC(=O)C\C(=C\C(O)=O)C(O)=O,1
CNC,1
NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
OC(=O)CC(O)(CC(O)=O)C(O)=O,1
C[N+](C)(C)CCO,1
O[C@@H]1COC(O)[C@H](O)[C@H]1O,1
CCO,1
NCCCC(O)=O,1
OCC(O)=O,1
OC(=O)C=O,1
OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,1
NCC(O)=O,1
O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,1
OCC(O)CO,1
NC1=NC(=O)C2=C(N1)N=CN2,1
NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1,1
OC(=O)\C=C\C(O)=O,1
C[C@H](CCC(O)=NCC(O)=O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,1
OC[C@@H](O)C(O)=O,1
OC=O,1
OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,1
N[C@@H](CCC(O)=O)C(O)=O,1
NCCO,1
O[C@@H](CC(O)=O)C(O)=O,1
N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
N[C@@H](CC1=CC=CC=C1)C(O)=O,1
C[C@H](N)C(O)=O,1
OC(=O)[C@@H]1CCCN1,1
CN,1
C[C@@H](O)[C@H](N)C(O)=O,1
N[C@@H](CC(N)=O)C(O)=O,1
OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,1
CC[C@H](C)[C@H](N)C(O)=O,1
C[C@@H]1O[C@@H](O)[C@@H](O)[C@H](O)[C@@H]1O,1
N[C@@H](CC1=CNC=N1)C(O)=O,1
NCCCC[C@H](N)C(O)=O,1
N[C@@H](CO)C(O)=O,1
C[C@H](O)C(O)=O,1
N[C@@H](CC(O)=O)C(O)=O,1
OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,1
OC(=O)CC1=CNC2=CC=CC=C12,1
OC(=O)CCC(=O)C(O)=O,1
CC(C)(CO)[C@@H](O)C(=O)NCCC(O)=O,1
CC(=O)N[C@H]1[C@@H](O)O[C@H](CO)[C@H](O)[C@@H]1O,1
NCCC[C@H](N)C(O)=O,1
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,1
OC(=O)CC(=O)C(O)=O,1
OC(=O)C1=CC(=O)NC(=O)N1,1
OC1=CC=CC=C1,1
CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N,1
CCC(O)=O,1
CC1=C(O)C(CO)=C(CO)C=N1,1
OS(O)=O,1
CC(=O)C(O)=O,1
CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1
NCCS(O)(=O)=O,1
OC(=O)CCC(O)=O,1
OS(S)(=O)=O,1
CC1=CNC(=O)NC1=O,1
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,1
OC[C@H]1OC(O)[C@H](O)[C@@H]1O,1
O=C1NC2=C(NC=N2)C(=O)N1,1
NC(N)=O,1
